arbeitsort.plz;landkreis_georef;km2;einwohner;r_u_marker
March;Landkreis Breisgau-Hochschwarzwald;1.339,71;244.978,00;u
Aach;Landkreis Konstanz;817,23;267.010,00;u
Aachen;Kreis Städteregion Aachen;707,06;539.546,00;u
Aalen;Landkreis Ostalbkreis;1.564,10;312.218,00;u
Aarbergen;Landkreis Rheingau-Taunus-Kreis;756,32;176.559,00;u
Aasbüttel;Kreis Steinburg;972,59;127.718,00;r
Abbenrode;Landkreis Harz;2.113,76;239.545,00;r
Abenberg;Landkreis Roth;934,62;162.015,00;u
Abensberg;Landkreis Kelheim;1.065,49;112.953,00;r
Abentheuer;Landkreis Birkenfeld;825,16;87.116,00;r
Abraham;Kreisfreie Stadt Passau;69,85;48.699,00;u
Absberg;Landkreis Weißenburg-Gunzenhausen;973,00;92.556,00;r
Abstatt;Landkreis Heilbronn;1.094,32;323.213,00;u
Abtsbessingen;Landkreis Kyffhäuserkreis;1.037,58;80.236,00;r
Abtsgmünd;Landkreis Ostalbkreis;1.564,10;312.218,00;u
Abtsteinach;Landkreis Bergstraße;807,17;275.654,00;u
Abtswind;Landkreis Kitzingen;683,60;87.849,00;r
Abtweiler;Landkreis Bad Kreuznach;920,86;163.452,00;u
Achberg;Landkreis Ravensburg;1.630,40;270.065,00;u
Achern;Landkreis Ortenaukreis;1.944,82;432.903,00;u
Achim;Landkreis Verden;789,27;132.622,00;u
Achslach;Landkreis Regen;976,16;77.066,00;r
Achstetten;Landkreis Biberach;1.438,69;199.051,00;r
Acht;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Achtelsbach;Landkreis Birkenfeld;825,16;87.116,00;r
Achterwehr;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Achtrup;Kreis Nordfriesland;2.129,66;166.100,00;r
Ackendorf;Landkreis Börde;3.099,16;203.092,00;r
Addebüll;Kreis Nordfriesland;2.129,66;166.100,00;r
Adelberg;Landkreis Göppingen;635,74;247.363,00;u
Adelebsen;Landkreis Göttingen;1.676,76;317.156,00;u
Adelheidsdorf;Landkreis Celle;1.550,27;177.082,00;r
Adelmannsfelden;Landkreis Ostalbkreis;1.564,10;312.218,00;u
Adelschlag;Landkreis Eichstätt;1.211,14;123.581,00;r
Adelsdorf;Landkreis Erlangen-Höchstadt;561,54;127.368,00;u
Adelsheim;Landkreis Neckar-Odenwald-Kreis;1.125,86;143.213,00;r
Adelshofen;Landkreis Ansbach;1.970,53;178.778,00;r
Adelsried;Landkreis Augsburg;1.078,84;238.845,00;u
Adelzhausen;Landkreis Aichach-Friedberg;779,72;126.556,00;u
Adenau;Landkreis Ahrweiler;816,76;129.806,00;u
Adenbach;Landkreis Kusel;507,89;69.094,00;r
